company,score,Sector,url
Apex Ecotech Ltd,82,Water Supply & Management Companies,https://www.screener.in/company/APEXECO/
Enviro Infra Engineers Ltd,78,Water Supply & Management Companies,https://www.screener.in/company/EIEL/consolidated/
Sattva Engineering Construction Ltd,75,Water Supply & Management Companies,https://www.screener.in/company/SATTVAENGG/
Va Tech Wabag Ltd,72,Water Supply & Management Companies,https://www.screener.in/company/WABAG/consolidated/
Felix Industries Ltd,64,Water Supply & Management Companies,https://www.screener.in/company/FELIX/consolidated/
Ion Exchange (India) Ltd,60,Water Supply & Management Companies,https://www.screener.in/company/IONEXCHANG/consolidated/
Denta Water & Infra Solutions Ltd,54,Water Supply & Management Companies,https://www.screener.in/company/DENTA/
JITF Infra Logistics Ltd,36,Water Supply & Management Companies,https://www.screener.in/company/JITFINFRA/consolidated/
