company,score,Sector,url
Canara Robeco Asset Management Company Ltd,89,Asset Management Company Companies,https://www.screener.in/company/CRAMC/
Aditya Birla Sun Life AMC Ltd,85,Asset Management Company Companies,https://www.screener.in/company/ABSLAMC/consolidated/
ICICI Prudential Asset Management Co Ltd,85,Asset Management Company Companies,https://www.screener.in/company/ICICIAMC/consolidated/
Nippon Life India Asset Management Ltd,84,Asset Management Company Companies,https://www.screener.in/company/NAM-INDIA/consolidated/
HDFC Asset Management Company Ltd,83,Asset Management Company Companies,https://www.screener.in/company/HDFCAMC/
UTI Asset Management Company Ltd,75,Asset Management Company Companies,https://www.screener.in/company/UTIAMC/
Shriram Asset Management Co Ltd,34,Asset Management Company Companies,https://www.screener.in/company/531359/
IL&FS Investment Managers Ltd,11,Asset Management Company Companies,https://www.screener.in/company/IVC/
