company,score,Sector,url
First Custodian Fund(I) Ltd,59,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511122/
Crest Ventures Ltd,59,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/CREST/consolidated/
Challani Capital Ltd,59,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530747/
Anupam Finserv Ltd,58,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530109/
Titan Securities Ltd,58,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530045/consolidated/
PTC India Financial Services Ltd,58,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/PFS/
U. Y. Fincorp Ltd,57,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/UYFINCORP/
Fedbank Financial Services Ltd,57,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/FEDFINA/
Anna Infrastructures Ltd,57,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530799/
Ranjit Securities Ltd,57,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531572/
Mangal Credit & Fincorp Ltd,56,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/MANCREDIT/
Ascom Leasing & Investments Ltd,56,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/ASCOM/
Helpage Finlease Ltd,56,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539174/
Saraswati Commercial (India) Ltd,56,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/512020/
Sulabh Engineers & Services Ltd,55,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/508969/consolidated/
Shree Metalloys Ltd,54,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531962/
Apollo Finvest (India) Ltd,54,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/512437/
KIFS Financial Services Ltd,54,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/535566/
India Finsec Ltd,54,Non Banking Financial Company (NBFC) Companies,
RSD Finance Ltd,54,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539875/consolidated/
Poonawalla Fincorp Ltd,54,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/POONAWALLA/consolidated/
Alfred Herbert (India) Ltd,54,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/505216/consolidated/
CP Capital Limited,53,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/CPCAP/consolidated/
Dhunseri Investments Ltd,53,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/DHUNINV/consolidated/
SBI Cards & Payment Services Ltd,53,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/SBICARD/
Oasis Securities Ltd,53,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/512489/
NBI Industrial Finance Company Ltd,53,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/NBIFIN/
Ladderup Finance Ltd,53,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530577/consolidated/
Ashika Credit Capital Ltd,53,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/543766/consolidated/
Optimus Finance Ltd,52,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531254/consolidated/
Epic Energy Ltd,52,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530407/consolidated/
Finkurve Financial Services Ltd,52,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/FINKURVE/
Goyal Associates Ltd,52,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530663/
Morarka Finance Ltd,52,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511549/
