company,score,Sector,url
AU Small Finance Bank Ltd,65,Other Bank Companies,https://www.screener.in/company/AUBANK/
Suryoday Small Finance Bank Ltd.,65,Other Bank Companies,
Capital Small Finance Bank Ltd,61,Other Bank Companies,https://www.screener.in/company/CAPITALSFB/
Ujjivan Small Finance Bank Ltd,46,Other Bank Companies,https://www.screener.in/company/UJJIVANSFB/
Fino Payments Bank Ltd,44,Other Bank Companies,https://www.screener.in/company/FINOPB/
ESAF SMALL FINANCE BANK LTD,39,Other Bank Companies,
Jana Small Finance Bank Ltd,27,Other Bank Companies,https://www.screener.in/company/JSFB/
Utkarsh Small Finance Bank Ltd,12,Other Bank Companies,https://www.screener.in/company/UTKARSHBNK/
Equitas Small Finance Bank Ltd,6,Other Bank Companies,https://www.screener.in/company/EQUITASBNK/
