company,score,Sector,url
Gujarat Pipavav Port Ltd,87,Port & Port services Companies,https://www.screener.in/company/GPPL/consolidated/
Adani Ports & Special Economic Zone Ltd,85,Port & Port services Companies,https://www.screener.in/company/ADANIPORTS/consolidated/
JSW Infrastructure Ltd,83,Port & Port services Companies,https://www.screener.in/company/JSWINFRA/consolidated/
Allcargo Terminals Ltd,52,Port & Port services Companies,https://www.screener.in/company/ATL/consolidated/
VMS Industries Ltd,9,Port & Port services Companies,https://www.screener.in/company/533427/
