company,score,Sector,url
Computer Age Management Services Ltd.,82,"Depositories, Clearing Houses and Other Intermediaries Companies",
Central Depository Services (India) Ltd,77,"Depositories, Clearing Houses and Other Intermediaries Companies",https://www.screener.in/company/CDSL/consolidated/
KFin Technologies Ltd,75,"Depositories, Clearing Houses and Other Intermediaries Companies",https://www.screener.in/company/KFINTECH/consolidated/
National Securities Depository Ltd,73,"Depositories, Clearing Houses and Other Intermediaries Companies",https://www.screener.in/company/544467/consolidated/
Beacon Trusteeship Ltd.,68,"Depositories, Clearing Houses and Other Intermediaries Companies",
